artist_id	artist_name
3520056	Gotye
3520182	Jon Pardi
3520205	Dean Lewis
3523808	Maren Morris
3530007	Evanescence
3530855	Liam Payne
3533108	Brad Kane
3533119	Mandy Moore
3533656	Jamey Johnson
3533813	Desiigner
3534573	Bee Gees
3536017	Cutting Crew
3537355	Bob Seger & The Silver Bullet Band
3542008	The Offspring
3544437	Banda Los Sebastianes
3555486	Carly Pearce
3564202	Grey
3588355	The xx
3631778	Jhené Aiko
3644227	JAY-Z
3644259	Zedd
3723950	Loud Luxury
3757295	Cardi B
3759724	Luniz
3767675	2Pac
3778913	Uncle Lucius
3826570	for KING & COUNTRY
3858435	Saving Abel
3861646	Def Leppard
3864350	City Girls
3873580	The Animals
3889337	Norman Greenbaum
3895850	The Hollies
3902535	Swae Lee
3967239	DJ Khalil
3971322	Opetaia Foa'i
3978424	Cheyenne Jackson
3992874	Tom Petty And The Heartbreakers
4049714	SHAED
4094603	Bishop Briggs
4117600	Offset
4147839	blackbear
4188884	The Lumineers
4223727	Calum Scott
4228486	Los Ángeles Azules
4242587	Hugh Jackman
4263052	Bradley Cooper
4322471	Tyga
4322733	Young Dolph
4322834	Gucci Mane
4323739	Rich The Kid
4324534	Quavo
4325172	Iggy Azalea
4330856	Dirty Heads
4334372	Yella Beezy
4334867	Wisin
4334957	P!nk
4334985	Maluma
4335136	Rick Ross
4335203	Future
4335209	Martin Garrix
4335210	Bebe Rexha
4335235	KONGOS
4335361	Britney Spears
4335532	Alan Walker
4335537	Marshmello
4335657	MAX
4335684	French Montana
4335730	Chris Brown
4336346	T-Pain
4337058	The Chainsmokers
4337177	G-Eazy
4337392	Beyoncé
4337773	Justin Timberlake
4337980	Mark Ronson
4338294	Pitbull
4338481	Farruko
4338605	Miguel
4339448	Diplo
4339490	Nicky Jam
4339593	Meghan Trainor
4339640	Sean Kingston
4340742	DJ Jazzy Jeff & The Fresh Prince
4340860	Bill Withers
4341528	Eddie Money
4342164	Ozzy Osbourne
4342555	MNEK
4342960	Coldplay
4343799	Kane Brown
4343941	Calvin Harris
4344239	Yo Gotti
4344479	Elle King
4344504	Fall Out Boy
4344814	Brad Paisley
4344857	Alan Jackson
4345030	TLC
4345180	Metro Boomin
4345815	Cyndi Lauper
4345865	Kansas
4346323	Michael Jackson
4347106	MGMT
4347981	John Legend
4348335	Rick Springfield
4348349	Toto
4348507	The Outfield
4348521	Kenny Loggins
4348648	Russ
4349354	Adele
4349512	Travis Scott
4349731	Sia
4350361	Usher
4350667	DJ Khaled
4350746	Mariah Carey
4350752	Daryl Hall & John Oates
4351300	Tomine Harket
4351979	Romeo Santos
4352186	Pedro Capó
4352398	J. Cole
4352399	Bryson Tiller
4352684	Earth, Wind & Fire
4352741	Survivor
4353044	Aerosmith
4353244	Quinn XCII
4353258	Journey
4353358	Boston
4353734	Halsey
4354566	The Charlie Daniels Band
4354926	Incubus
4356465	Jimmy Buffett
4357158	Kygo
4358551	OMI
4359487	Looking Glass
4360193	Van Morrison
4360988	Macklemore
4361078	The Fray
4361721	Billy Joel
4362079	Jagged Edge
4363147	Joe
4363155	Ginuwine
4363326	Ozuna
4363398	Joan Jett & The Blackhearts
4364055	Three Days Grace
4365362	Mario
4366088	Chris Young
4366309	Hozier
4366859	Train
4367238	Pink Floyd
4368477	Lit
4369411	OutKast
4369585	The Script
4369773	Tim McGraw
4370056	Cage The Elephant
4371120	Brooks & Dunn
4372133	Maren Morris
4373151	System Of A Down
4373922	Gwen Stefani
4373959	Backstreet Boys
4373969	Franz Ferdinand
4380900	Eurythmics
4384514	Wisin & Yandel
4384829	Lecrae
4386620	Foster The People
4387018	Billy Ray Cyrus
4396795	Jon B
4418421	Chord Overstreet
4433696	AC/DC
4551774	Khalid
4700769	Tyler, The Creator
4713544	Aminé
4714178	Miley Cyrus
4725846	James Arthur
4738097	Zooey Deschanel
4739135	Alex & Sierra
4742379	Zara Larsson
4750449	Old Dominion
4766586	Mitchell Tenpenny
4771848	Sam Cooke
5543673	Pitbull
5559319	Ying Yang Twins
5567757	Arcangel
5571744	Daddy Yankee
5603354	Twista
5611592	Al Green
5619467	The Marshall Tucker Band
5648750	AWOLNATION
5659229	Natti Natasha
5667313	Farruko
5759406	Norman Greenbaum
5790367	Karol G
5822218	King Harvest
5903863	Ozuna
5993800	Lil Jon & The East Side Boyz
6011997	Lord Huron
6088052	Edwin Luna y La Trakalosa de Monterrey
6176835	Romeo Santos
6184707	Russell Dickerson
6236394	Israel Kamakawiwo'ole
6746539	Scotty McCreery
6765922	Aino Jawo
6765923	Caroline Hjelt
6778823	Anna Kendrick
6792595	21 Savage
6822978	Cody Jinks
6837712	Nio Garcia
6847313	Anuel AA
6853291	AJR
6923541	Ron Funches
6923545	James Corden
6923547	Kunal Nayyar
6923550	Christopher Mintz-Plasse
6932927	6LACK
7432812	Metro Boomin
7439330	Thomas Doherty
7443080	Ella Mai
7493861	Tainy
7502022	Luke Combs
7524550	Jessie Reyez
7546013	KYLE
7546705	Offset
7572937	YoungBoy Never Broke Again
7592934	Arctic Monkeys
7613325	Ruth B.
7672420	Billie Eilish
7673915	Lindsay Ell
7687573	Metallica
7691137	Olivia Foa'i
7691138	Vai Mahina
7691139	Sulata Foai-Amiatu
7691140	Matthew Ineleo
7691144	Dwayne Johnson
7691145	Talaga Steve Sale
7732552	Elitsa Alexandrova
7750062	Marshmello
7750349	Smiley
7792785	Marshmello
7840685	Petit Biscuit
7842315	Cory Asbury
7853119	The Animals
7942147	Charlie Heat
7963372	Anuel Aa
7982519	Daniel Caesar
7985068	Sam Tinnesz
8084347	ReMix Reek
8102362	Casper Magico
8316464	Sasha Sloan
8316531	Christian Nodal
8373469	Bad Bunny
8396999	Black Caviar
8397384	Lil Troy
8404944	Y2K
8580786	Key Glock
8835283	LANCO
9059186	XXXTENTACION
9196187	Myke Towers
9242988	Bad Bunny
9814867	Ann Marie
9839638	A Boogie Wit da Hoodie
10247502	Khalid
10322226	Kiana Ledé
10412499	Ski Mask The Slump God
10418932	Lauv
10457497	Camila Cabello
10483241	Jordan Davis
10516882	The Thing About Noise
10526167	Dylan Playfair
10683116	Lewis Capaldi
10755065	Dennis Lloyd
10782262	Ant Beale
10936143	Chase Rice
10951409	DaniLeigh
10955677	T.I.
11050017	Five Finger Death Punch
11067256	Ava Max
11092535	Pinkfong
11110903	Haley Reinhart
11123147	Quality Control
11192259	Bad Bunny
11224599	Runaway June
11259944	Lil Baby
11259983	Gunna
11332142	YUNGBLUD
11332163	Jhay Cortez
11386368	Cardi B
11404171	Au/Ra
11515032	Bazzi
11541190	Lil Pump
11560267	Everlast
11560404	Coolio
11569181	Jimmie Allen
11651375	YNW Melly
11721441	Bad Wolves
11761204	The Greatest Showman Ensemble
11761207	Zac Efron
11761208	Zendaya
11842441	Loren Allred
11849750	BlocBoy JB
11861911	Piano Keys
11875804	White Noise
12017823	Joyner Lucas
12036544	Shaboozey
12037980	Bryce Vine
12105717	Ziv Zaifman
12105718	Austyn Johnson
12105719	Cameron Seely
12105720	Daniel Everidge
12159468	Blackway
12200021	XXXTENTACION
12227133	Alina Baraz
12318805	Mustard
12413674	Sheck Wes
12435587	Bad Bunny
12481269	BlocBoy JB
12502480	Normani
12887999	Juice WRLD
12897050	Carin Leon
12912891	Anuel AA
12917707	YNW Melly
12933684	YK Osiris
12970095	Sech
13031480	Shoreline Mafia
13130569	Zhavia Ward
13154422	Lil Donald
13203837	Alec Benjamin
13223995	DaBaby
13224858	Shotgun Willy
13268631	Queen Naija
13268684	Social House
13268784	Thutmose
13284722	Normani
13443659	Beau Young Prince
13487227	benny blanco
13538534	Backstreet Boys
13797604	Savage Ga$p
13888782	Anuel AA
13890259	Aquatic Focus
13922527	Flipp Dinero
13940574	Payper Corleone feat. Tyga, Offset
13969506	Rob Vicious
13991202	Pardison Fontaine
14116392	Kina
14157194	HARDY
14253456	Chris Lane
14253457	Morgan Wallen
14253564	Jake Owen
14466989	Polo G
14522461	Haiti Babii
14542950	Chance the Rapper
14584867	Afro B
14614166	Blueface
14618085	Duckwrth
14683891	Calboy
14709280	Megan Thee Stallion
14711092	Blueface
14723920	KALEO
14912735	NLE Choppa
14918893	Yung Craka
15008667	Childish Gambino
15058080	Stunna Girl
15183462	Lunay
15475487	Lil Nas X
15657662	Luh Kel
15750549	Jaden
15980955	Cover Kid
16039699	Blanco Brown
16053628	Matt Stell
16119681	Ambjaay
16128996	Tyler Childers
16176801	RUN DMC
16272015	Mena Massoud
16331381	Layton Greene
16421546	Víctor Cárdenas
16457522	Lil Tecca
16475091	Dayvi
16500381	Adam Calhoun featuring Katie Noel
16709868	5 Seconds of Summer
16747710	bbno$
16810887	Gaten Matarazzo
16810888	Gabriella Pizzolo
16865703	Lindiwe Mkhize
16865721	Billy Eichner
16865722	Seth Rogen
16957816	Ed Sheeran
16961601	Ali Gatie
16961668	Panic! At The Disco
16965214	Trapt
16967513	Why Don't We
16971690	The Goo Goo Dolls
16977233	YoungBoy Never Broke Again
16991068	Kevin Gates
