track_id	track_name	artist_ids	provider_id	label_ids	short_value	long_value	play_ratio	day
19777340	Lose Yourself (From "8 Mile" Soundtrack)	[3415143]	7	[742595,751505,739864]	19362	510	37.96470588235294	2019-07-29
82983693	Wish You Pain	[17064388]	2	[1051562]	24441	653	37.42879019908116	2019-07-29
74794164	Wow.	[3512639]	7	[739816]	65154	1879	34.674827035657266	2019-07-29
82053763	Sex Drive	[3425910]	7	[770046]	16682	508	32.838582677165356	2019-07-29
16206707	Alexander Hamilton	[17092253,17092255,17092258,17092252,17092257,17092256,17092254]	2	[730075]	10484	325	32.25846153846154	2019-07-29
81350652	Money In The Grave	[3411651]	7	[739816]	24541	766	32.0378590078329	2019-07-29
74378119	What's Up Danger	[12159468,8396999]	7	[746676]	54000	1708	31.615925058548008	2019-07-29
74378119	What's Up Danger	[8396999,12159468]	7	[746676]	54000	1708	31.615925058548008	2019-07-29
82822331	Like This	[3506662]	7	[2814530]	23592	773	30.520051746442434	2019-07-29
78402304	Old Town Road (Remix)	[15475487]	3	[789974]	460092	15377	29.920790791441764	2019-07-29
42215088	Soy Peor	[4239840]	52	[740011]	16401	551	29.765880217785845	2019-07-29
37627667	CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS")	[4337773]	3	[989561]	30967	1061	29.186616399623	2019-07-29
66720417	Genius	[13044885]	3	[3989839]	10658	375	28.421333333333333	2019-07-29
80210285	One Jump Ahead (Reprise)	[16272015]	7	[739477]	14263	503	28.355864811133202	2019-07-29
76124307	Drogba (Joanna)	[14584867]	16	[5577500]	26926	953	28.253934942287515	2019-07-29
59222408	Truth Hurts	[2792039]	2	[1033597]	419448	14966	28.026727248429776	2019-07-29
1865024	Suga Boom Boom (feat. James Williams) (Radio Edit)	[434231]	52	[68015]	12353	454	27.209251101321588	2019-07-29
82823874	Made This Way	[3452536]	7	[742612]	28137	1053	26.72079772079772	2019-07-29
82822330	No Excuses	[3506662]	7	[2814530]	25934	1001	25.908091908091908	2019-07-29
23994928	Back In Black	[4433696]	3	[789974]	11668	456	25.587719298245613	2019-07-29
75716475	MIDDLE CHILD	[3424400]	7	[6485457]	17656	713	24.76297335203366	2019-07-29
18318075	The Hills	[3443144]	7	[739816,745894,743027]	13447	558	24.09856630824373	2019-07-29
70570791	Other Depths	[13890259]	99	[3307250]	16388	684	23.95906432748538	2019-07-29
82856528	Mac 10	[10432840]	7	[4093510]	55987	2340	23.926068376068375	2019-07-29
75974262	Talk	[4551774]	3	[1137623]	22472	970	23.16701030927835	2019-07-29
60866267	Too Good At Goodbyes	[3407643]	7	[746083,751397,746827]	12927	575	22.481739130434782	2019-07-29
78867538	Tempo (feat. Missy Elliott)	[2792039]	2	[1033597]	15904	710	22.4	2019-07-29
83116709	Do You Remember	[14542950]	580	[6096796]	58895	2634	22.359529233105544	2019-07-29
62540283	Baby Shark	[11092535]	107	[2642433]	114905	5223	21.999808539153744	2019-07-29
71685264	Get You The Moon	[14116392]	3	[789974]	34281	1562	21.94686299615877	2019-07-29
63028031	The Champion	[3498730]	7	[784711,745913]	14342	674	21.27893175074184	2019-07-29
76121566	break up with your girlfriend, i'm bored	[3438018]	7	[739816]	13577	653	20.791730474732006	2019-07-29
80210294	Speechless (Full)	[3460105]	7	[739477]	26256	1268	20.706624605678233	2019-07-29
83116713	I Got You (Always and Forever)	[14542950]	580	[6096796]	12787	624	20.49198717948718	2019-07-29
15377639	Undo	[2762380]	2	[1032236]	13473	663	20.32126696832579	2019-07-29
74378136	Memories	[13268784]	7	[746676]	13084	696	18.798850574712645	2019-07-29
72252766	Money	[3757295]	2	[4386363]	14564	786	18.529262086513995	2019-07-29
74378147	Elevate	[3967239]	7	[746676]	14241	773	18.423027166882278	2019-07-29
74378129	Start a Riot	[14618085,12036544]	7	[746676]	23162	1265	18.309881422924903	2019-07-29
74378128	Invincible	[4713544]	7	[746676]	16020	879	18.225255972696246	2019-07-29
81405466	Pistol	[14909052]	16	[6422793]	10660	590	18.06779661016949	2019-07-29
72980815	Someone You Loved	[10683116]	7	[762950]	155817	8787	17.73267326732673	2019-07-29
82822334	Thinking	[3506662]	7	[2814530]	19590	1108	17.680505415162454	2019-07-29
42598925	Campground Stargazing	[1558373]	99	[311867]	12869	731	17.6046511627907	2019-07-29
83058835	Summer At 7	[4348648]	3	[789974]	84049	4964	16.93170829975826	2019-07-29
77609935	I Like Girls (feat. Lil Skies)	[2948711]	2	[730075]	17740	1054	16.83111954459203	2019-07-29
62055904	A Million Dreams (Reprise)	[12105719,4242587,12105718]	2	[730075]	15104	904	16.707964601769913	2019-07-29
82523318	Old Town Road (Remix)	[15475487]	3	[789974]	86797	5264	16.48879179331307	2019-07-29
67170812	Speechless	[2744333]	2	[7722437]	22938	1421	16.142153413089375	2019-07-29
15994699	Still Counting	[2768749]	2	[731397]	16240	1018	15.952848722986248	2019-07-29
74769147	Look Back At It	[9839638]	2	[2672023]	19642	1324	14.83534743202417	2019-07-29
79592781	Unthinkable	[7750349]	107	[7443194]	41431	2812	14.733641536273115	2019-07-29
58671592	Slow Dance In A Parking Lot	[10483241]	7	[740043]	12099	825	14.665454545454546	2019-07-29
71460267	Without Me	[3454891]	7	[741861]	27107	1880	14.418617021276596	2019-07-29
80582600	Find U Again	[4337980]	3	[789974]	12226	862	14.183294663573086	2019-07-29
81780278	Back To Love	[4335730]	3	[6229364]	33828	2390	14.15397489539749	2019-07-29
54463274	Play With Fire (feat. Yacht Money)	[7985068]	107	[2355437]	10135	725	13.979310344827587	2019-07-29
65958587	I Like It	[2853594,3757295,11192259]	2	[4386363]	10585	758	13.964379947229551	2019-07-29
71607552	Close Friends	[11259944]	7	[5505645]	10008	733	13.653478854024556	2019-07-29
19749692	Dancing Queen	[3455564]	7	[752547,746462,740895,742091]	11390	838	13.591885441527447	2019-07-29
74378138	Save The Day	[10412499,3499143]	7	[746676]	10221	758	13.484168865435356	2019-07-29
54877475	Sunshine	[7942147,10782262]	7	[2391552,1038187]	26255	1968	13.340955284552846	2019-07-29
73976379	Going Bad (feat. Drake)	[2711238]	2	[1033574]	15199	1140	13.332456140350876	2019-07-29
69755779	SICKO MODE	[4349512]	3	[4631231]	13993	1078	12.980519480519481	2019-07-29
81196042	Big Mouth	[16549289]	106	[4418811]	10286	793	12.970996216897856	2019-07-29
82246184	Con la Boca Abierta	[5691774]	1	[5091623]	15662	1323	11.838246409674982	2019-07-29
80936304	No Guidance	[4335730]	3	[6229364]	296855	25264	11.750118746041798	2019-07-29
16075075	Hooked on a Feeling	[2721730,2832008]	2	[1032236]	22752	1942	11.715756951596292	2019-07-29
40880665	An Innocent Warrior	[7691140,7691139,7691138]	7	[739477]	20535	1857	11.05815831987076	2019-07-29
79274449	Bundle of Joy (From "Inside Out")	[15980955]	222	[6593928]	14030	1275	11.003921568627451	2019-07-29
77504799	Old Town Road	[15475487]	3	[789974]	416002	38218	10.884975665916583	2019-07-29
82823861	Rain On My Parade	[3452536]	7	[742612]	31000	2848	10.884831460674157	2019-07-29
79982120	All Night Long (feat. Trey Songz)	[3042811]	2	[7722833]	13430	1244	10.795819935691318	2019-07-29
19217228	Be Prepared (From "The Lion King" / Soundtrack Version)	[3504629,3504630,3504628,3504627]	7	[746779,739477]	17019	1651	10.308298001211387	2019-07-29
62055954	Never Enough	[11842441]	2	[730075]	26570	2594	10.242868157286045	2019-07-29
75781590	Tia Tamera	[4737029]	3	[790517]	11064	1081	10.234967622571693	2019-07-29
79595982	Started	[4325172]	106	[6913959]	13117	1284	10.215732087227414	2019-07-29
72734877	Homesick	[4343799]	3	[790119]	10745	1074	10.004655493482309	2019-07-29
18148505	Heathens	[2815032]	2	[730075]	12363	1248	9.90625	2019-07-29
62055902	A Million Dreams	[2761139,4242587,12105717]	2	[730075]	33113	3347	9.893337317000299	2019-07-29
74745570	Lucid Dreams	[12887999]	7	[4451686]	12143	1260	9.637301587301588	2019-07-29
82822318	Leave Me Alone	[3506662]	7	[2814530]	151325	15932	9.498179763996987	2019-07-29
76121565	thank u, next	[3438018]	7	[739816]	12767	1372	9.305393586005831	2019-07-29
19995503	Long Cool Woman (In A Black Dress)	[3895850]	7	[746983,746462,740895]	25396	2777	9.145120633777458	2019-07-29
76400610	Change Ya Life	[14522461]	106	[6662218]	14130	1571	8.994271164863145	2019-07-29
60778257	Reckless Love (Single)	[7842315]	107	[1053450]	17270	1927	8.962117280747275	2019-07-29
66519110	Better Now	[3512639]	7	[739816]	15659	1790	8.74804469273743	2019-07-29
79274448	Can You Feel the Love Tonight (From "The Lion King")	[15980955]	222	[6593928]	11724	1351	8.678016284233902	2019-07-29
81595150	Don't Check On Me	[4335730]	3	[6229364]	15488	1805	8.580609418282549	2019-07-29
68701789	In My Feelings	[3411651]	7	[739816]	11439	1334	8.57496251874063	2019-07-29
22440273	I Want It That Way	[4373959]	3	[790126]	16432	1936	8.487603305785123	2019-07-29
57191387	Meant to Be (feat. Florida Georgia Line)	[2727601]	2	[7722437]	18471	2193	8.422708618331054	2019-07-29
68839900	God Only Knows	[3826570]	40	[761600]	16811	1996	8.422344689378757	2019-07-29
18139796	HandClap	[2714339]	2	[1032268]	36913	4449	8.296920656327265	2019-07-29
75187840	Nights Like This (feat. Ty Dolla $ign)	[2957036]	2	[1032271]	24334	2988	8.143908969210173	2019-07-29
78373233	SOS	[3425708]	7	[748152]	19955	2457	8.121693121693122	2019-07-29
80899260	Baila Conmigo	[16475091,16421546]	3	[789974]	13663	1692	8.075059101654846	2019-07-29
18288782	Rotten to the Core	[3497178,3497181,3399932,3497182]	7	[739477]	11813	1463	8.074504442925496	2019-07-29
19751774	Fireflies	[3450391]	7	[740989,746676,739899]	13862	1721	8.054619407321324	2019-07-29
62055914	Come Alive	[11761204,3477776,12105720,11761208,4242587]	2	[730075]	20718	2625	7.892571428571428	2019-07-29
22400586	...Baby One More Time	[4335361]	3	[790126]	12774	1639	7.793776693105552	2019-07-29
19969188	Free Bird	[3447946]	7	[752531,742101,746462]	23679	3063	7.730656219392753	2019-07-29
79982082	Big Gangsta	[2702099]	2	[1776007]	14683	1935	7.588113695090439	2019-07-29
52497274	Sober Up	[6853291]	1	[1010477]	10973	1459	7.520904729266621	2019-07-29
71805103	911	[11543848]	107	[5072438]	10173	1354	7.513293943870015	2019-07-29
