Position,"Track Name",Artist,Streams,URL
71,"break up with your girlfriend, i'm bored","Ariana Grande",327121,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
72,"thank u, next","Ariana Grande",326301,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
73,"The Git Up","Blanco Brown",322228,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
74,"Tap (feat. Meek Mill)",NAV,321015,https://open.spotify.com/track/5rU6kDNXZLXIinFezpbWbO
75,Easier,"5 Seconds of Summer",316924,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
76,"Dancing With A Stranger (with Normani)","Sam Smith",315474,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
77,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville,315107,https://open.spotify.com/track/4eqrNsKy9Mvg1fvfsTVIAE
78,"rockstar (feat. 21 Savage)","Post Malone",310679,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
79,"Beer Never Broke My Heart","Luke Combs",310146,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT
80,"Whiskey Glasses","Morgan Wallen",304958,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
81,"Faucet Failure","Ski Mask The Slump God",303335,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN
82,"God's Country","Blake Shelton",302211,https://open.spotify.com/track/1dyxS3YzBbL0t8rEVwVQ1K
83,"Goin Baby",DaBaby,301218,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS
84,"Act Up","City Girls",300996,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
85,Moonlight,XXXTENTACION,299317,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
86,"Beautiful Crazy","Luke Combs",298077,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
87,"Homicide (feat. Eminem)",Logic,295753,https://open.spotify.com/track/2MuMD298IpYqKF367wegUd
88,Isis,"Joyner Lucas",294231,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
89,Shallow,"Lady Gaga",291875,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
90,"Focus (feat. 21 Savage)",Bazzi,291329,https://open.spotify.com/track/12iDo4Kdw9vA2X1lN3UTVu
91,"High Hopes","Panic! At The Disco",291031,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
92,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",290890,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
93,"On A Roll","Ashley O",290839,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
94,"Jocelyn Flores",XXXTENTACION,289684,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
95,"Con Calma","Daddy Yankee",283516,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
96,Juice,Lizzo,281010,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
97,"i'm so tired...",Lauv,279046,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
98,"I Like It","Cardi B",277776,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
99,"Taste (feat. Offset)",Tyga,275122,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
100,"Saturday Nights",Khalid,273948,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
101,"Potential (feat. Lil Uzi Vert & Young Dolph)","Gucci Mane",273909,https://open.spotify.com/track/1CiR9MK8zVPKtGrHe4LFPb
102,i,"Lil Skies",273647,https://open.spotify.com/track/4ZT9FnbFu1PaBfV3itxiqT
103,"Rescue Me",OneRepublic,272680,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
104,"you should see me in a crown","Billie Eilish",270788,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
105,"SLOW DANCING IN THE DARK",Joji,270588,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
106,Nonstop,Drake,266935,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
107,"F9mily (You & Me)","Lil Nas X",263177,https://open.spotify.com/track/7mLDdnb7pA3ybCnqL1CHFe
108,"Mo Bamba","Sheck Wes",262519,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
109,Omertà,Drake,262062,https://open.spotify.com/track/3kCwyvhvVTyehIzYN2I0nF
110,"Sweet but Psycho","Ava Max",260756,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
111,"Bohemian Rhapsody - Remastered 2011",Queen,259127,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
112,"La La Land (feat. YG)","Bryce Vine",258422,https://open.spotify.com/track/3TpBefRZ1vFcOH6z57PQRI
113,"Find U Again (feat. Camila Cabello)","Mark Ronson",258370,https://open.spotify.com/track/5Uw7Dut2lZfexn3Y09swpf
114,Speechless,"Dan + Shay",258142,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
115,"She Got the Best of Me","Luke Combs",255741,https://open.spotify.com/track/698eQRku24PIYPQPHItKlA
116,"Hey Look Ma, I Made It","Panic! At The Disco",255336,https://open.spotify.com/track/22oEJW6r2rMb9z4IntfyEa
117,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",254716,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
118,"Loco Contigo (with J. Balvin & Tyga)","DJ Snake",254605,https://open.spotify.com/track/1f38Gx6xQz6r4H1jGVNBJo
119,"Leave Me Alone","Flipp Dinero",253847,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
120,Rumor,"Lee Brice",253664,https://open.spotify.com/track/56eGOeSsqdg3FLxdo83TwV
121,"God's Plan",Drake,251531,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
122,"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","Machine Gun Kelly",251136,https://open.spotify.com/track/6bWBLZLBRQEJ5KsLicouNB
123,"I Fall Apart","Post Malone",249663,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
124,Nightmare,Halsey,247507,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
125,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,247179,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
126,Youngblood,"5 Seconds of Summer",246993,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
127,"All Girls Are The Same","Juice WRLD",246941,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
128,"Wake Up in the Sky","Gucci Mane",246771,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
129,"ocean eyes","Billie Eilish",246203,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
130,"C7osure (You Like)","Lil Nas X",245695,https://open.spotify.com/track/4yQRf697MY5cueE3OQgLhw
131,Tequila,"Dan + Shay",244916,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
132,"Psycho (feat. Ty Dolla $ign)","Post Malone",244689,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
133,"That's Life (feat. Mac Miller & Sia)",88-Keys,244187,https://open.spotify.com/track/5h0Jgt873QtgL6nJRBGfT6
134,"Kick It","Lil Nas X",243778,https://open.spotify.com/track/75iGnGnJPOglsGfBlHJfRM
135,"Armed And Dangerous","Juice WRLD",243694,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
136,"Stripper Bowl",Migos,241465,https://open.spotify.com/track/7mv4eldXEFbf3s3ZEfbmlC
137,"Yes Indeed","Lil Baby",241000,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
138,"That's A Rack","Lil Uzi Vert",240351,https://open.spotify.com/track/4pCEIQ6wBVuaJdER5bALtO
139,"Mad Love",Mabel,239727,https://open.spotify.com/track/79JBjIq90BrQ8Ws0pUhlzD
140,"MIA (feat. Drake)","Bad Bunny",239673,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
141,"XO TOUR Llif3","Lil Uzi Vert",237805,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
142,Feeling,"Juice WRLD",237335,https://open.spotify.com/track/2Jh3UqxnHJMyzMzku4uOtE
143,"Post Malone (feat. RANI)","Sam Feldt",237199,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
144,"i love you","Billie Eilish",236758,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
145,Noticed,"Lil Mosey",236521,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
146,"Young Dumb & Broke",Khalid,235648,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
147,"Here With Me",Marshmello,234853,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
148,"SOS (feat. Aloe Blacc)",Avicii,234729,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
149,"my strange addiction","Billie Eilish",233121,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
150,"Look What God Gave Her","Thomas Rhett",232879,https://open.spotify.com/track/2KqJC0koTBUyDlsMt5ok1V
151,GRoCERIES,"Chance the Rapper",232313,https://open.spotify.com/track/0yFvWTLs3iIwDbc91noXGT
152,idontwannabeyouanymore,"Billie Eilish",229761,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
153,"I Like Me Better",Lauv,229342,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
154,Congratulations,"Post Malone",228565,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
155,"Boy With Luv (feat. Halsey)",BTS,225480,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
156,Location,Khalid,224284,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
157,"Be Alright","Dean Lewis",223771,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
158,"When It Rains It Pours","Luke Combs",219528,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l
159,"Ric Flair Drip (& Metro Boomin)",Offset,219441,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
160,"Good as Hell",Lizzo,219062,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
161,xanny,"Billie Eilish",217253,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
162,"Nice For What",Drake,215534,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
